ID,Exercise,Smoke
1,Some,Never
2,None,Regul
3,None,Occas
4,None,Never
5,Some,Never
6,Some,Never
7,Freq,Never
8,Freq,Never
9,Some,Never
10,Some,Never
11,Freq,Never
12,Freq,Never
13,Some,Never
14,Some,Never
15,Some,Never
16,Freq,Never
17,Freq,Never
18,Some,Never
19,Some,Never
20,Freq,Never
21,Freq,Never
22,Freq,Never
23,Freq,Never
24,Some,Never
25,Some,Never
26,Some,Never
27,Some,Never
28,Freq,Never
29,Freq,Never
30,Some,Never
31,None,Occas
32,Freq,Never
33,Freq,Heavy
34,Some,Never
35,Some,Regul
36,Freq,Occas
37,Some,Never
38,Freq,Never
39,Some,Never
40,Freq,Occas
41,Some,Never
42,Some,Never
43,Some,Never
44,Some,Never
45,Freq,Never
46,Freq,Never
47,Freq,Regul
48,None,Never
49,Some,Occas
50,None,Never
51,Freq,Never
52,Freq,Never
53,Some,Never
54,Freq,Never
55,Freq,Regul
56,Freq,Never
57,None,Never
58,Freq,Never
59,Freq,Never
60,Freq,Occas
61,Freq,Never
62,Freq,Never
63,Freq,Never
64,None,Never
65,Freq,Never
66,Freq,Never
67,Freq,Never
68,Freq,Never
69,Some,Never
70,None,NA
71,Freq,Never
72,Freq,Heavy
73,Some,Never
74,Freq,Never
75,Some,Never
76,Freq,Heavy
77,Some,Never
78,Freq,Heavy
79,Some,Never
80,Freq,Never
81,Some,Never
82,Freq,Never
83,Freq,Never
84,Some,Never
85,Freq,Never
86,Some,Never
87,Some,Never
88,Freq,Never
89,Freq,Never
90,Some,Never
91,Some,Never
92,Some,Never
93,Some,Never
94,Some,Never
95,Freq,Heavy
96,Some,Never
97,Freq,Regul
98,Freq,Never
99,Freq,Never
100,Freq,Never
101,Some,Never
102,None,Never
103,Some,Never
104,Freq,Never
105,Some,Heavy
106,Some,Never
107,Freq,Occas
108,Freq,Never
109,Freq,Never
110,Some,Regul
111,Freq,Never
112,None,Never
113,Freq,Never
114,Freq,Never
115,Freq,Never
116,None,Never
117,Some,Never
118,Some,Heavy
119,Some,Never
120,Freq,Heavy
121,Freq,Occas
122,Freq,Occas
123,Freq,Never
124,Freq,Never
125,Freq,Never
126,Freq,Never
127,Freq,Never
128,Freq,Regul
129,Freq,Never
130,Some,Never
131,Freq,Never
132,Some,Never
133,Some,Never
134,Freq,Occas
135,Some,Never
136,Some,Regul
137,Freq,Never
138,Freq,Never
139,Freq,Never
140,None,Never
141,Some,Never
142,None,Never
143,Freq,Never
144,Some,Never
145,Freq,Never
146,Some,Never
147,Freq,Regul
148,Freq,Never
149,Freq,Never
150,Freq,Never
151,Freq,Never
152,Freq,Never
153,Some,Regul
154,Freq,Never
155,None,Never
156,Freq,Never
157,Freq,Heavy
158,Some,Never
159,None,Never
160,Freq,Regul
161,None,Never
162,Some,Never
163,Some,Never
164,Freq,Occas
165,Some,Never
166,Some,Never
167,Some,Never
168,Some,Regul
169,Freq,Never
170,Freq,Never
171,Some,Never
172,Some,Occas
173,Some,Regul
174,Freq,Never
175,Freq,Never
176,Freq,Never
177,Freq,Regul
178,Freq,Never
179,Freq,Regul
180,Some,Never
181,Freq,Occas
182,Freq,Occas
183,Some,Never
184,Freq,Never
185,Some,Never
186,Some,Never
187,Some,Never
188,None,Never
189,Freq,Never
190,Freq,Never
191,Some,Never
192,Some,Never
193,None,Occas
194,Some,Never
195,None,Never
196,Some,Never
197,Freq,Never
198,Freq,Never
199,Some,Occas
200,Some,Never
201,Some,Occas
202,Freq,Never
203,Some,Never
204,None,Never
205,Some,Regul
206,Freq,Occas
207,Some,Never
208,Some,Never
209,None,Never
210,Freq,Never
211,Some,Never
212,Some,Never
213,Freq,Never
214,Some,Never
215,Some,Never
216,Some,Never
217,None,Never
218,Freq,Never
219,Freq,Never
220,Freq,Never
221,None,Heavy
222,Freq,Never
223,Some,Never
224,Freq,Never
225,Some,Never
226,Some,Never
227,Some,Heavy
228,Freq,Never
229,Freq,Regul
230,Freq,Occas
231,Some,Never
232,Some,Never
233,Some,Never
234,Some,Never
235,Some,Never
236,Some,Never
237,Freq,Never
